# WorkSafeBC Case Study - Q1 Raw Data Export (24 subsectors, 2016-2025)
# Source: WorkSafeBC public Power BI 'Provincial Overview (past 10 years)', Injury Rate tab, Report 3079. Data as of 2026-06-30.
# Extracted per-subsector via 'Show as a table'. TLC=# Time-Loss Claims; PY=# Person-Years; IR=TLC/PY*100 (derived).
# NOTE: Fishing (7020) does not publish Person-Years, so IR is blank. Values are ratable sectors only (70-76), self-insured excluded.
# DATA-SCOPE NOTE: The 24 subsectors sum ~10.5% higher (claims) / ~12.8% higher (PY) than the province 'All' total; Q1 contributions were anchored to the official 2.08 via claim shares.
metric,subsector_code,subsector_name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
TLC,7010,Agriculture,541,553,620,572,712,810,639,593,473,568
TLC,7020,Fishing,195,130,160,156,140,132,134,106,86,65
TLC,7030,Forestry,767,747,786,654,533,548,660,505,467,416
TLC,7040,Oil; Gas or Mineral Resources,192,238,260,250,250,336,371,324,308,387
TLC,7110,Food and Beverage Products,1236,1293,1335,1392,1352,1473,1367,1326,1215,1194
TLC,7120,Metal and Non-Metallic Mineral,1883,1893,2052,1946,1598,1820,1829,1744,1693,1650
TLC,7130,Petroleum/Coal/Rubber/Chemical,474,457,447,498,392,431,435,402,372,341
TLC,7140,Wood and Paper Products,1660,1595,1522,1453,1268,1406,1362,1178,1053,990
TLC,7150,Other Products (nes),727,630,696,666,550,625,573,522,496,457
TLC,7210,General Construction,6632,7024,7388,7046,6353,6905,6638,6911,6722,6355
TLC,7220,Heavy Construction,86,89,94,96,86,94,171,192,114,102
TLC,7230,Road Construction/Maintenance,311,380,407,385,364,421,337,368,340,334
TLC,7310,Warehousing,244,265,225,192,201,213,172,169,177,270
TLC,7320,Transportation & Related Svcs,4104,4326,4402,4604,4177,4891,4905,4688,4874,5265
TLC,7410,Retail,5121,5009,5179,5332,4901,5420,5139,4942,4696,4969
TLC,7420,Wholesale,1082,1095,1168,1180,1023,1176,1117,1130,1046,1060
TLC,7530,Public Administration,2970,2989,3199,3256,3062,3479,3730,3396,3310,3520
TLC,7610,Tourism and Hospitality,6125,6292,6544,6637,4331,5073,5687,5991,5901,6141
TLC,7620,Business Services,1611,1616,1655,1725,1373,1575,1534,1505,1407,1452
TLC,7630,Professional/Scientific/Tech,2031,2176,2205,2301,1925,2315,2164,1929,2008,1908
TLC,7640,Other Services (nes),5205,5381,5589,5676,5009,5548,5587,5399,5484,5443
TLC,7650,Education,2097,2293,2387,2597,2024,2727,4552,3128,3053,3230
TLC,7660,Health Care & Social Services,8869,9037,8979,10049,11260,11940,16620,12698,12849,12983
TLC,7670,Utilities,338,295,260,248,213,210,229,206,210,162
PY,7010,Agriculture,21943,22273,22662,24896,24412,26409,25418,23807,23789,25790
PY,7020,Fishing,None
PY,7030,Forestry,15976,16681,16996,15282,13468,14536,13875,13120,12368,11414
PY,7040,Oil; Gas or Mineral Resources,17766,20638,19939,20746,18234,20319,25491,25814,24079,24065
PY,7110,Food and Beverage Products,32062,33209,33520,33946,32282,33163,33293,32103,33100,32686
PY,7120,Metal and Non-Metallic Mineral,48404,51026,53186,54083,48876,51280,52169,52741,55807,53800
PY,7130,Petroleum/Coal/Rubber/Chemical,23736,25032,25709,27026,26407,26905,29068,31272,28181,26511
PY,7140,Wood and Paper Products,54202,54855,54083,51720,44460,48734,48160,43213,41413,39464
PY,7150,Other Products (nes),46451,46249,46461,45713,41809,45574,50054,49523,51507,53640
PY,7210,General Construction,159704,178629,181755,191842,185729,198718,215773,224977,216419,213005
PY,7220,Heavy Construction,2901,2865,3120,4239,5016,6792,7496,7556,7346,7309
PY,7230,Road Construction/Maintenance,12110,14151,14880,14866,14661,14959,15488,14937,14109,14328
PY,7310,Warehousing,3683,4016,3935,4178,3791,3842,4250,4200,4268,5283
PY,7320,Transportation & Related Svcs,93724,98070,101409,106152,100242,104670,112263,115284,116919,127261
PY,7410,Retail,241047,247478,245969,247546,229304,234264,240120,240952,242909,237964
PY,7420,Wholesale,68255,69105,68727,70328,65571,69379,70213,66083,64710,61934
PY,7530,Public Administration,123023,124275,126683,129300,121190,127765,129099,129834,134608,131980
PY,7610,Tourism and Hospitality,393720,404618,410971,418066,321900,342486,379794,386765,391420,388897
PY,7620,Business Services,346507,353488,359350,364510,343708,378610,388167,389603,401709,405929
PY,7630,Professional/Scientific/Tech,228232,238404,249431,262064,263106,308427,324712,319568,316627,313435
PY,7640,Other Services (nes),214294,221538,229122,235027,216805,230855,241295,235160,238404,246055
PY,7650,Education,142373,147034,151481,157121,156474,150042,146612,161594,167591,165566
PY,7660,Health Care & Social Services,248484,249650,256249,265692,269865,280332,291174,313675,329876,339488
PY,7670,Utilities,34870,33821,32364,32005,29233,28079,27104,28122,26482,26562
IR_derived,7010,Agriculture,2.465,2.483,2.736,2.298,2.917,3.067,2.514,2.491,1.988,2.202
IR_derived,7020,Fishing,,,,,,,,,,
IR_derived,7030,Forestry,4.801,4.478,4.625,4.280,3.958,3.770,4.757,3.849,3.776,3.645
IR_derived,7040,Oil; Gas or Mineral Resources,1.081,1.153,1.304,1.205,1.371,1.654,1.455,1.255,1.279,1.608
IR_derived,7110,Food and Beverage Products,3.855,3.894,3.983,4.101,4.188,4.442,4.106,4.130,3.671,3.653
IR_derived,7120,Metal and Non-Metallic Mineral,3.890,3.710,3.858,3.598,3.269,3.549,3.506,3.307,3.034,3.067
IR_derived,7130,Petroleum/Coal/Rubber/Chemical,1.997,1.826,1.739,1.843,1.484,1.602,1.496,1.285,1.320,1.286
IR_derived,7140,Wood and Paper Products,3.063,2.908,2.814,2.809,2.852,2.885,2.828,2.726,2.543,2.509
IR_derived,7150,Other Products (nes),1.565,1.362,1.498,1.457,1.316,1.371,1.145,1.054,0.963,0.852
IR_derived,7210,General Construction,4.153,3.932,4.065,3.673,3.421,3.475,3.076,3.072,3.106,2.983
IR_derived,7220,Heavy Construction,2.964,3.106,3.013,2.265,1.715,1.384,2.281,2.541,1.552,1.396
IR_derived,7230,Road Construction/Maintenance,2.568,2.685,2.735,2.590,2.483,2.814,2.176,2.464,2.410,2.331
IR_derived,7310,Warehousing,6.625,6.599,5.718,4.596,5.302,5.544,4.047,4.024,4.147,5.111
IR_derived,7320,Transportation & Related Svcs,4.379,4.411,4.341,4.337,4.167,4.673,4.369,4.066,4.169,4.137
IR_derived,7410,Retail,2.124,2.024,2.106,2.154,2.137,2.314,2.140,2.051,1.933,2.088
IR_derived,7420,Wholesale,1.585,1.585,1.699,1.678,1.560,1.695,1.591,1.710,1.616,1.711
IR_derived,7530,Public Administration,2.414,2.405,2.525,2.518,2.527,2.723,2.889,2.616,2.459,2.667
IR_derived,7610,Tourism and Hospitality,1.556,1.555,1.592,1.588,1.345,1.481,1.497,1.549,1.508,1.579
IR_derived,7620,Business Services,0.465,0.457,0.461,0.473,0.399,0.416,0.395,0.386,0.350,0.358
IR_derived,7630,Professional/Scientific/Tech,0.890,0.913,0.884,0.878,0.732,0.751,0.666,0.604,0.634,0.609
IR_derived,7640,Other Services (nes),2.429,2.429,2.439,2.415,2.310,2.403,2.315,2.296,2.300,2.212
IR_derived,7650,Education,1.473,1.560,1.576,1.653,1.294,1.817,3.105,1.936,1.822,1.951
IR_derived,7660,Health Care & Social Services,3.569,3.620,3.504,3.782,4.172,4.259,5.708,4.048,3.895,3.824
IR_derived,7670,Utilities,0.969,0.872,0.803,0.775,0.729,0.748,0.845,0.733,0.793,0.610
