# WorkSafeBC Case Study - Q3 Raw Data Export (roofing CUs + General Construction subsector)
# Source: WorkSafeBC public Power BI 'Provincial Overview (past 10 years)', Injury Rate tab, Report 3079. Data as of 2026-06-30.
# Extracted via per-CU 'Show as a table'. SIR=Serious Injury Rate; IR=Injury Rate; MSIR=MSI Injury Rate.
# entity,metric,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
721051 Steep Slope Roofing,Injury Rate,7.86,8.63,7.75,6.74,7.17,6.48,5.25,5.83,5.62,5.49
721051 Steep Slope Roofing,Serious Injury Rate,2.64,3.21,2.47,1.97,2.69,2.04,2.31,1.93,2.16,1.60
721051 Steep Slope Roofing,MSI Injury Rate,1.48,1.16,1.92,1.63,1.25,1.82,1.21,0.88,1.08,1.12
721051 Steep Slope Roofing,# Time Loss Claims,143,156,141,120,120,121,100,112,109,113
721051 Steep Slope Roofing,# Serious Injury Claims,48,58,45,35,45,38,44,37,42,33
721051 Steep Slope Roofing,% Serious Injury Claims,34,37,32,29,38,31,44,33,39,29
721051 Steep Slope Roofing,# MSI Claims,27,21,35,29,21,34,23,17,21,23
721051 Steep Slope Roofing,# Person Years,1819,1808,1818,1780,1674,1866,1905,1921,1940,2058
721036 Low Slope Roofing,Injury Rate,6.28,7.21,6.42,5.06,4.40,5.44,5.08,4.69,3.80,3.82
721036 Low Slope Roofing,Serious Injury Rate,1.32,0.93,1.13,0.99,0.74,0.91,1.08,1.01,0.60,0.67
721036 Low Slope Roofing,MSI Injury Rate,1.82,2.45,2.05,1.61,1.29,1.53,1.49,1.33,1.23,1.16
721036 Low Slope Roofing,# Time Loss Claims,186,224,216,173,143,174,164,162,139,148
721036 Low Slope Roofing,# Serious Injury Claims,39,29,38,34,24,29,35,35,22,26
721036 Low Slope Roofing,% Serious Injury Claims,21,13,18,20,17,17,21,22,16,18
721036 Low Slope Roofing,# MSI Claims,54,76,69,55,42,49,48,46,45,45
721036 Low Slope Roofing,# Person Years,2962,3107,3364,3420,3250,3198,3231,3455,3654,3873
7210 General Construction (subsector total),Injury Rate,4.15,3.93,4.06,3.67,3.42,3.47,3.08,3.07,3.11,2.98
7210 General Construction (subsector total),Serious Injury Rate,0.87,0.85,0.82,0.74,0.73,0.74,0.65,0.64,0.63,0.58
7210 General Construction (subsector total),MSI Injury Rate,1.11,1.06,1.16,1.03,0.96,1.00,0.87,0.88,0.85,0.84
7210 General Construction (subsector total),# Time Loss Claims,6632,7024,7388,7046,6353,6905,6638,6911,6722,6355
7210 General Construction (subsector total),# Serious Injury Claims,1386,1520,1494,1426,1348,1477,1396,1446,1356,1235
7210 General Construction (subsector total),% Serious Injury Claims,21,22,20,20,21,21,21,21,20,19
7210 General Construction (subsector total),# MSI Claims,1780,1900,2103,1975,1781,1987,1867,1991,1846,1787
7210 General Construction (subsector total),# Person Years,159704,178629,181755,191842,185729,198718,215773,224977,216419,213005
